Event ID,Title,Category,Disaster Type Group,Date,Year,Month,Month Name,Source,Latitude,Longitude,Region,Event Age Days,Event Age Category,Status,Severity,Risk Score,Data Collection Date
EONET_20002,"PINE MOUNTAIN Wildfire, Deschutes, Oregon",Wildfires,Climate,2026-05-07,2026,5,May,IRWIN,43.810294,-120.917759,North America,4,Recent,Active,High,3,2026-05-11
EONET_20009,"rx-Lapham Good Oak 2026 Prescribed Fire, Waukesha, Wisconsin",Wildfires,Climate,2026-05-06,2026,5,May,IRWIN,43.0403647,-88.3992015,North America,5,Recent,Active,High,3,2026-05-11
EONET_19986,Tropical Storm Hagupit,Severe Storms,Climate,2026-05-06,2026,5,May,JTWC,7.6,147.5,Asia,5,Recent,Active,High,3,2026-05-11
EONET_20003,"SOUTH CANAL Wildfire, Lafayette, Florida",Wildfires,Climate,2026-05-05,2026,5,May,IRWIN,29.8519444,-83.1752778,North America,6,Recent,Active,High,3,2026-05-11
EONET_20004,"LOCHLOOSA WEST Wildfire, Alachua, Florida",Wildfires,Climate,2026-05-05,2026,5,May,IRWIN,29.5297222,-82.1758333,North America,6,Recent,Active,High,3,2026-05-11
EONET_20012,"Hog Farm Wildfire, Woodward, Oklahoma",Wildfires,Climate,2026-05-05,2026,5,May,IRWIN,36.2888889,-99.0419444,North America,6,Recent,Active,High,3,2026-05-11
EONET_19972,"Black Rush Lake RX Prescribed Fire, Swift, Minnesota",Wildfires,Climate,2026-05-04,2026,5,May,IRWIN,45.3272,-95.9166,North America,7,Recent,Active,High,3,2026-05-11
EONET_19970,"32nd Avenue Wildfire, Rolette, North Dakota",Wildfires,Climate,2026-05-04,2026,5,May,IRWIN,48.856667,-99.985,North America,7,Recent,Active,High,3,2026-05-11
EONET_19973,"TOWER Wildfire, Kern, California",Wildfires,Climate,2026-05-03,2026,5,May,IRWIN,35.3644444,-118.8036111,North America,8,Recent,Active,High,3,2026-05-11
EONET_19971,"AFM - Hazen Wildfire, Maricopa, Arizona",Wildfires,Climate,2026-05-02,2026,5,May,IRWIN,33.345111,-112.612123,North America,9,Recent,Active,High,3,2026-05-11
EONET_19974,"Guide Wildfire, Oglala Lakota, South Dakota",Wildfires,Climate,2026-05-02,2026,5,May,IRWIN,43.266956,-102.905231,North America,9,Recent,Active,High,3,2026-05-11
EONET_19977,"rx-82 Prescribed Fire, Burnett, Wisconsin",Wildfires,Climate,2026-05-01,2026,5,May,IRWIN,45.8940373,-92.5961834,North America,10,Recent,Active,High,3,2026-05-11
EONET_20008,"Burbank B RX Prescribed Fire, Kandiyohi, Minnesota",Wildfires,Climate,2026-05-01,2026,5,May,IRWIN,45.3875,-94.919444,North America,10,Recent,Active,High,3,2026-05-11
EONET_20013,"Black Diamond 1B RX Prescribed Fire, Lewis and Clark, Montana",Wildfires,Climate,2026-04-30,2026,4,April,IRWIN,46.984333,-112.51,North America,11,Recent,Active,High,3,2026-05-11
EONET_19934,"Buzzard Feather Wildfire, Roosevelt, Montana",Wildfires,Climate,2026-04-30,2026,4,April,IRWIN,48.52908,-105.55355,North America,11,Recent,Active,High,3,2026-05-11
EONET_19978,"Downing RX Prescribed Fire, Mahnomen, Minnesota",Wildfires,Climate,2026-04-30,2026,4,April,IRWIN,47.1572,-95.991,North America,11,Recent,Active,High,3,2026-05-11
EONET_19941,"rx-Millville Oak Woodlands SNA South Prescribed Fire, Grant, Wisconsin",Wildfires,Climate,2026-04-29,2026,4,April,IRWIN,43.039137,-90.929398,North America,12,Recent,Active,High,3,2026-05-11
EONET_19976,"Ogden Bay RX Prescribed Fire, Weber, Utah",Wildfires,Climate,2026-04-29,2026,4,April,IRWIN,41.204062,-112.16423,North America,12,Recent,Active,High,3,2026-05-11
EONET_19942,"Rx Parker 3877 Prescribed Fire, Parker, Texas",Wildfires,Climate,2026-04-29,2026,4,April,IRWIN,32.85722222,-98.04277778,North America,12,Recent,Active,High,3,2026-05-11
EONET_19940,"Sparks Wildfire, Quay, New Mexico",Wildfires,Climate,2026-04-28,2026,4,April,IRWIN,34.846208,-104.055975,North America,13,Recent,Active,High,3,2026-05-11
EONET_19939,"SHADY GROVE Wildfire, Russell, Alabama",Wildfires,Climate,2026-04-28,2026,4,April,IRWIN,32.2958333,-85.3177778,North America,13,Recent,Active,High,3,2026-05-11
EONET_19937,"HWY 41 Wildfire, Miami-Dade, Florida",Wildfires,Climate,2026-04-27,2026,4,April,IRWIN,25.7609,-80.55105,North America,14,Recent,Active,High,3,2026-05-11
EONET_19913,"Tucker Wildfire, Hooker, Nebraska",Wildfires,Climate,2026-04-26,2026,4,April,IRWIN,41.8008,-101.2498,North America,15,Recent,Active,High,3,2026-05-11
EONET_19914,"Tyndall 469 &amp; 143 RX Prescribed Fire, Mason, Michigan",Wildfires,Climate,2026-04-26,2026,4,April,IRWIN,44.11771,-86.048555,North America,15,Recent,Active,High,3,2026-05-11
EONET_19916,"Yellow Bank East RX Prescribed Fire, Lac qui Parle, Minnesota",Wildfires,Climate,2026-04-25,2026,4,April,IRWIN,45.226197,-96.339308,North America,16,Recent,Active,High,3,2026-05-11
EONET_20010,"DTAE Bolio Rx Prescribed Fire, Southeast Fairbanks, Alaska",Wildfires,Climate,2026-04-24,2026,4,April,IRWIN,63.86224,-145.9018,North America,17,Recent,Active,High,3,2026-05-11
EONET_19910,"Poitrey Canyon Wildfire, Las Animas, Colorado",Wildfires,Climate,2026-04-24,2026,4,April,IRWIN,37.317111,-103.6385,North America,17,Recent,Active,High,3,2026-05-11
